HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer._1donebf1.yes,Answer._1donebf2.no,Answer._1donebf3.dontknow,Answer._2monitor1.cellphone,Answer._2monitor2.tablet,Answer._2monitor3.smalllaptop,Answer._2monitor4.midsize,Answer._2monitor5.largescreen,Answer._2monitor6.notsure,Answer._3cursor1.mouse,Answer._3cursor2.trackpad,Answer._3cursor3.other,Answer._4age1.lt21,Answer._4age2.21to30,Answer._4age3.31to30,Answer._4age4.41to50,Answer._4age5.over50r,Answer._5income1.lt10k,Answer._5income2.gt10klt30k,Answer._5income3.gt30klt60k,Answer._5income4.gt60klt90k,Answer._5income5.gt90k,Answer._6edu1.lthighschool,Answer._6edu2.highschool,Answer._6edu3.somecollege,Answer._6edu4.fouryearcollege,Answer._6edu5.masterorabove,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,30X31N5D678TE98THG4KR6NI5EBAS8,A2QLZ92VQ01A4Q,Submitted,Mon Nov 25 23:24:54 PST 2019,Mon Nov 25 23:27:09 PST 2019,Tue Nov 26 23:27:09 PST 2019,135,0% (0/0),0% (0/0),0% (0/0),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"[{""height"":154,""label"":""No Need to Do this Label"",""left"":146,""top"":426,""width"":396}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,31IBVUNM9WH42S65MRVHGUIG1YIFVV,A218BGZJ249RHB,Submitted,Mon Nov 25 23:25:31 PST 2019,Mon Nov 25 23:30:05 PST 2019,Tue Nov 26 23:30:05 PST 2019,274,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":155,""label"":""No Need to Do this Label"",""left"":114,""top"":426,""width"":445}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,32M8BPYGAX45UMI0Y42GJQSYUBMIG0,A1E6E0XZ1BX1AR,Submitted,Mon Nov 25 23:25:14 PST 2019,Mon Nov 25 23:26:48 PST 2019,Tue Nov 26 23:26:48 PST 2019,94,0% (0/0),0% (0/0),0% (0/0),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":155,""label"":""No Need to Do this Label"",""left"":143,""top"":424,""width"":402}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,3300DTYQT6ZKR6AS5HH1SPY885OQEU,A10463CXXO00VE,Submitted,Mon Nov 25 23:27:28 PST 2019,Mon Nov 25 23:29:40 PST 2019,Tue Nov 26 23:29:40 PST 2019,132,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"[{""height"":163,""label"":""No Need to Do this Label"",""left"":141,""top"":423,""width"":404}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,336KAV9KYUA15SPY373U3ASLABF2Y7,A3C5V0SNXXS5E7,Submitted,Mon Nov 25 23:24:31 PST 2019,Mon Nov 25 23:29:46 PST 2019,Tue Nov 26 23:29:46 PST 2019,315,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":175,""label"":""No Need to Do this Label"",""left"":148,""top"":416,""width"":391}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,336YQZE83ZWTA8J72NHH7M8QLBS5ML,A3Q9UK9RCL87O8,Submitted,Mon Nov 25 23:25:43 PST 2019,Mon Nov 25 23:27:23 PST 2019,Tue Nov 26 23:27:23 PST 2019,100,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":205,""label"":""No Need to Do this Label"",""left"":125,""top"":412,""width"":445}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,33L7PJKHCKGGALST9IPW5KD9H9P8TR,A8NMM0NXN9JIT,Submitted,Mon Nov 25 23:25:15 PST 2019,Mon Nov 25 23:43:38 PST 2019,Tue Nov 26 23:43:38 PST 2019,1103,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":4,""label"":""No Need to Do this Label"",""left"":624,""top"":516,""width"":33},{""height"":145,""label"":""No Need to Do this Label"",""left"":146,""top"":432,""width"":396}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,34MAJL3QP85AS37XI0TS6VT6LOG34Y,A2A3U0GTJ7DK6Q,Submitted,Mon Nov 25 23:25:20 PST 2019,Mon Nov 25 23:27:43 PST 2019,Tue Nov 26 23:27:43 PST 2019,143,0% (0/0),0% (0/0),0% (0/0),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[{""height"":153,""label"":""No Need to Do this Label"",""left"":148,""top"":425,""width"":396}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,34X6J5FLPXGS2MWKJISSP5B0DDLQJG,A6YCL762M6N74,Submitted,Mon Nov 25 23:37:20 PST 2019,Mon Nov 25 23:43:23 PST 2019,Tue Nov 26 23:43:23 PST 2019,363,0% (0/0),0% (0/0),0% (0/0),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[],683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,36AHBNMV1VUO82NE0WNBZTJP72ADYX,A1FEQPNF3GMLG8,Submitted,Tue Nov 26 00:29:53 PST 2019,Tue Nov 26 00:31:16 PST 2019,Wed Nov 27 00:31:16 PST 2019,83,0% (0/0),0% (0/0),0% (0/0),TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[{""height"":181,""label"":""No Need to Do this Label"",""left"":143,""top"":398,""width"":407}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,36U2A8VAG5HWM8TOSD9Y36EFRB1KYB,A3BIRWA8ZHZQSL,Submitted,Mon Nov 25 23:25:35 PST 2019,Mon Nov 25 23:34:07 PST 2019,Tue Nov 26 23:34:07 PST 2019,512,0% (0/0),0% (0/0),0% (0/0),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":147,""label"":""No Need to Do this Label"",""left"":148,""top"":429,""width"":407}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,36ZN444YTVGTMZZYMNFOOZ10LXEIOO,A1G10UPKNT2YEX,Submitted,Mon Nov 25 23:37:27 PST 2019,Tue Nov 26 00:03:07 PST 2019,Wed Nov 27 00:03:07 PST 2019,1540,0% (0/0),0% (0/0),0% (0/0),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"[{""height"":151,""label"":""No Need to Do this Label"",""left"":145,""top"":428,""width"":399}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,39PAAFCODQIELXO6HB06XYXHS7VVTO,A25WGTFYA70QGZ,Submitted,Tue Nov 26 00:27:30 PST 2019,Tue Nov 26 00:29:23 PST 2019,Wed Nov 27 00:29:23 PST 2019,113,0% (0/0),0% (0/0),0% (0/0),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":158,""label"":""No Need to Do this Label"",""left"":142,""top"":421,""width"":401}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,3AUQQEL7U9BD5ORFJ9CWDNVCVWT0VC,A3KOWY3F88WP94,Submitted,Mon Nov 25 23:25:58 PST 2019,Mon Nov 25 23:30:54 PST 2019,Tue Nov 26 23:30:54 PST 2019,296,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":163,""label"":""No Need to Do this Label"",""left"":138,""top"":423,""width"":404}]",683,1024,,
335HHSX8DGN00NZW0UELO9TXB0VHD2,3VMQHMXNFYY535P7V0MRNN4HN3BPRU,Take a short Survey and Draw a bounding box around 1 item (20 cents):,Take a 6-question survey and draw a bounding box around 1 item (20 cents):,Survey and bounding box,$0.20,Mon Nov 25 23:24:20 PST 2019,50,BatchId:3849192;OriginalHitTemplateId:928390838;,3600,86400,Tue Nov 26 23:24:20 PST 2019,3AWETUDC96A5L3D5OWQ54X8451GIZP,AOQIN4AGBL85L,Submitted,Mon Nov 25 23:25:41 PST 2019,Mon Nov 25 23:49:29 PST 2019,Tue Nov 26 23:49:29 PST 2019,1428,0% (0/0),0% (0/0),0% (0/0),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"[{""height"":148,""label"":""No Need to Do this Label"",""left"":148,""top"":430,""width"":396}]",683,1024,,
