HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,Approve,Reject
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,30ZX6P7VFCDBA3UZH72RTNDXXMK2JL,A32YIAVCB5MZEL,Submitted,Fri Nov 29 19:10:05 PST 2019,Fri Nov 29 19:11:37 PST 2019,Sat Nov 30 19:11:37 PST 2019,92,0% (0/0),0% (0/0),0% (0/0),"[{""height"":152,""label"":""No Need to Do this Label"",""left"":151,""top"":430,""width"":394}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,31UV0MXWNUU7EPTGH8JPFT194HII5M,A16CB7UV5WYVGE,Submitted,Fri Nov 29 17:16:18 PST 2019,Fri Nov 29 17:17:06 PST 2019,Sat Nov 30 17:17:06 PST 2019,48,0% (0/0),0% (0/0),0% (0/0),"[{""height"":189,""label"":""No Need to Do this Label"",""left"":133,""top"":405,""width"":426}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,31UV0MXWNUU7EPTGH8JPFT194HNI5R,A37VAG5ESQEH6N,Submitted,Fri Nov 29 19:38:21 PST 2019,Fri Nov 29 19:39:48 PST 2019,Sat Nov 30 19:39:48 PST 2019,87,0% (0/0),0% (0/0),0% (0/0),"[{""height"":149,""label"":""No Need to Do this Label"",""left"":146,""top"":431,""width"":399}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,320DUZ38GB41PX26GMNGVR7Y75PJGL,A1U69QDM8UIXZ5,Submitted,Fri Nov 29 19:22:21 PST 2019,Fri Nov 29 19:23:46 PST 2019,Sat Nov 30 19:23:46 PST 2019,85,0% (0/0),0% (0/0),0% (0/0),"[{""height"":151,""label"":""No Need to Do this Label"",""left"":147,""top"":428,""width"":396}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,32KTQ2V7RHXCBVLJ5DUYJ2DS7ML9MK,A1XCQA727LJVL2,Submitted,Fri Nov 29 17:10:05 PST 2019,Fri Nov 29 17:11:31 PST 2019,Sat Nov 30 17:11:31 PST 2019,86,0% (0/0),0% (0/0),0% (0/0),"[{""height"":208,""label"":""No Need to Do this Label"",""left"":143,""top"":392,""width"":415}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,336KAV9KYUA15SPY373U3ASLAQOY26,AB7EPYZDNM1EE,Submitted,Fri Nov 29 17:15:10 PST 2019,Fri Nov 29 17:15:43 PST 2019,Sat Nov 30 17:15:43 PST 2019,33,0% (0/0),0% (0/0),0% (0/0),"[{""height"":152,""label"":""No Need to Do this Label"",""left"":135,""top"":428,""width"":411}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,336KAV9KYUA15SPY373U3ASLAQQ2YC,A4QJIB68MBB30,Submitted,Fri Nov 29 17:32:00 PST 2019,Fri Nov 29 17:34:35 PST 2019,Sat Nov 30 17:34:35 PST 2019,155,0% (0/0),0% (0/0),0% (0/0),"[{""height"":155,""label"":""No Need to Do this Label"",""left"":145,""top"":425,""width"":401}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,339ANSOTR9KAW8EJOVNVHIKR17DKI9,A1J4RYSJWKHS8U,Submitted,Fri Nov 29 17:15:33 PST 2019,Fri Nov 29 17:16:08 PST 2019,Sat Nov 30 17:16:08 PST 2019,35,0% (0/0),0% (0/0),0% (0/0),"[{""height"":159,""label"":""No Need to Do this Label"",""left"":143,""top"":424,""width"":402}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,33F859I56AV97AZ5C0SHI30ME0RHBV,A96QCLO0BNB3R,Submitted,Fri Nov 29 18:30:28 PST 2019,Fri Nov 29 18:31:23 PST 2019,Sat Nov 30 18:31:23 PST 2019,55,0% (0/0),0% (0/0),0% (0/0),"[{""height"":156,""label"":""No Need to Do this Label"",""left"":144,""top"":425,""width"":400}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,33FBRBDW6SHZO4QINWU6GAD5T218CE,A19AGK07RP4KT4,Submitted,Fri Nov 29 18:11:56 PST 2019,Fri Nov 29 18:12:25 PST 2019,Sat Nov 30 18:12:25 PST 2019,29,0% (0/0),0% (0/0),0% (0/0),"[{""height"":149,""label"":""No Need to Do this Label"",""left"":143,""top"":427,""width"":403}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,33M4IA01QKJT97G9D1WTL4TKKCCXRG,AVOHJMTVSDC5D,Submitted,Fri Nov 29 18:02:24 PST 2019,Fri Nov 29 18:04:26 PST 2019,Sat Nov 30 18:04:26 PST 2019,122,0% (0/0),0% (0/0),0% (0/0),"[{""height"":155,""label"":""No Need to Do this Label"",""left"":145,""top"":426,""width"":398}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,33SA9F9TR1CPB36EHQG7KEGUWLFEWQ,AB6VY5CRJYCTO,Submitted,Fri Nov 29 17:12:59 PST 2019,Fri Nov 29 17:15:15 PST 2019,Sat Nov 30 17:15:15 PST 2019,136,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":145,""top"":426,""width"":399}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,34PGFRQONSTXMJS6VRRYHUTM1TCJWH,A1NZ4BJK085UI7,Submitted,Fri Nov 29 17:47:41 PST 2019,Fri Nov 29 17:48:48 PST 2019,Sat Nov 30 17:48:48 PST 2019,67,0% (0/0),0% (0/0),0% (0/0),"[{""height"":157,""label"":""No Need to Do this Label"",""left"":144,""top"":426,""width"":399}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,351SEKWQS4ZOELY0HTZ05YWIY70DM5,AD1ILDUXZHASF,Submitted,Fri Nov 29 17:15:40 PST 2019,Fri Nov 29 17:16:16 PST 2019,Sat Nov 30 17:16:16 PST 2019,36,0% (0/0),0% (0/0),0% (0/0),"[{""height"":162,""label"":""No Need to Do this Label"",""left"":136,""top"":422,""width"":415}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,351SEKWQS4ZOELY0HTZ05YWIY76DMB,A2UON3BX83225C,Submitted,Fri Nov 29 19:52:18 PST 2019,Fri Nov 29 19:54:06 PST 2019,Sat Nov 30 19:54:06 PST 2019,108,0% (0/0),0% (0/0),0% (0/0),"[{""height"":7,""label"":""No Need to Do this Label"",""left"":549,""top"":595,""width"":10},{""height"":12,""label"":""No Need to Do this Label"",""left"":546,""top"":599,""width"":19},{""height"":20,""label"":""No Need to Do this Label"",""left"":553,""top"":595,""width"":35},{""height"":54,""label"":""No Need to Do this Label"",""left"":556,""top"":573,""width"":38},{""height"":137,""label"":""No Need to Do this Label"",""left"":155,""top"":429,""width"":394}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,3570Y55XZT1RKMX52MOJ5EMMK9TYGP,A34QVV6QUHYMST,Submitted,Fri Nov 29 17:06:09 PST 2019,Fri Nov 29 17:06:48 PST 2019,Sat Nov 30 17:06:48 PST 2019,39,0% (0/0),0% (0/0),0% (0/0),"[{""height"":201,""label"":""No Need to Do this Label"",""left"":129,""top"":393,""width"":431}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,35H6S234SEIRL5YFF7A0IQB4VQN56F,A3PE2BF5KAEUQL,Submitted,Fri Nov 29 17:12:35 PST 2019,Fri Nov 29 17:14:45 PST 2019,Sat Nov 30 17:14:45 PST 2019,130,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":145,""top"":426,""width"":399}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,36NEMU28XJVNNRYRYO4QXML35N8WMZ,A16133KD0TSYYI,Submitted,Fri Nov 29 18:27:57 PST 2019,Fri Nov 29 18:29:53 PST 2019,Sat Nov 30 18:29:53 PST 2019,116,0% (0/0),0% (0/0),0% (0/0),"[{""height"":153,""label"":""No Need to Do this Label"",""left"":143,""top"":426,""width"":397}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,36PW28KO43ES4Q3BGLKF2PJ342DAEC,A25JN5S896UMA5,Submitted,Fri Nov 29 17:33:54 PST 2019,Fri Nov 29 17:34:52 PST 2019,Sat Nov 30 17:34:52 PST 2019,58,0% (0/0),0% (0/0),0% (0/0),"[{""height"":144,""label"":""No Need to Do this Label"",""left"":148,""top"":435,""width"":395}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,373ERPL3YSQMSQ7P8RVWW18E7GNTRS,A27B3C18KT7RA,Submitted,Fri Nov 29 17:24:08 PST 2019,Fri Nov 29 18:00:05 PST 2019,Sat Nov 30 18:00:05 PST 2019,2157,0% (0/0),0% (0/0),0% (0/0),"[{""height"":141,""label"":""No Need to Do this Label"",""left"":142,""top"":428,""width"":408}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,379J5II41SY909UFDC95B3ZEYECELY,A13WYZ8AXD6ODX,Submitted,Fri Nov 29 17:43:05 PST 2019,Fri Nov 29 17:43:46 PST 2019,Sat Nov 30 17:43:46 PST 2019,41,0% (0/0),0% (0/0),0% (0/0),"[{""height"":147,""label"":""No Need to Do this Label"",""left"":144,""top"":426,""width"":396}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,37C0GNLMHJLMPID8UDSJG2ZW87ND6X,A3T4S9WJRN97IV,Submitted,Fri Nov 29 18:05:51 PST 2019,Fri Nov 29 18:06:32 PST 2019,Sat Nov 30 18:06:32 PST 2019,41,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":137,""top"":426,""width"":415}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,37XITHEIS0R5695EM5067R8AJUNCRS,A3FJHVTEPEQAET,Submitted,Fri Nov 29 17:12:05 PST 2019,Fri Nov 29 17:12:26 PST 2019,Sat Nov 30 17:12:26 PST 2019,21,0% (0/0),0% (0/0),0% (0/0),"[{""height"":169,""label"":""No Need to Do this Label"",""left"":125,""top"":419,""width"":432}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,37XITHEIS0R5695EM5067R8AJUPCRU,A2KJ983WWTEK4L,Submitted,Fri Nov 29 18:00:58 PST 2019,Fri Nov 29 18:01:46 PST 2019,Sat Nov 30 18:01:46 PST 2019,48,0% (0/0),0% (0/0),0% (0/0),"[{""height"":155,""label"":""No Need to Do this Label"",""left"":145,""top"":432,""width"":399}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,38F5OAUN5RUM5YWFZJG1D1EQVAYH77,A37T9EPVNVP94Z,Submitted,Fri Nov 29 17:23:41 PST 2019,Fri Nov 29 17:28:31 PST 2019,Sat Nov 30 17:28:31 PST 2019,290,0% (0/0),0% (0/0),0% (0/0),[],683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,39GAF6DQWVIDCDCXFSGWRSEM03BV1G,A2FCL64LIYCWOE,Submitted,Fri Nov 29 18:38:53 PST 2019,Fri Nov 29 18:43:30 PST 2019,Sat Nov 30 18:43:30 PST 2019,277,0% (0/0),0% (0/0),0% (0/0),"[{""height"":147,""label"":""No Need to Do this Label"",""left"":146,""top"":432,""width"":397}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,39N5ACM9HI5IWYIWXTMQ067NCRXP9X,A2FW09VDPEKRHS,Submitted,Fri Nov 29 17:48:42 PST 2019,Fri Nov 29 17:49:59 PST 2019,Sat Nov 30 17:49:59 PST 2019,77,0% (0/0),0% (0/0),0% (0/0),"[{""height"":154,""label"":""No Need to Do this Label"",""left"":146,""top"":428,""width"":397}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,39N5ACM9HI5IWYIWXTMQ067NCRY9PI,A3FCM5JHF95XCT,Submitted,Fri Nov 29 17:53:34 PST 2019,Fri Nov 29 17:55:30 PST 2019,Sat Nov 30 17:55:30 PST 2019,116,0% (0/0),0% (0/0),0% (0/0),"[{""height"":152,""label"":""No Need to Do this Label"",""left"":141,""top"":430,""width"":400}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,3A1COHJ8NNDQ5C1Y9O87R1AL6U9H8Z,A1K6JQGEH2LE8X,Submitted,Fri Nov 29 19:42:58 PST 2019,Fri Nov 29 19:44:46 PST 2019,Sat Nov 30 19:44:46 PST 2019,108,0% (0/0),0% (0/0),0% (0/0),"[{""height"":152,""label"":""No Need to Do this Label"",""left"":144,""top"":426,""width"":399},{""height"":7,""label"":""No Need to Do this Label"",""left"":916,""top"":319,""width"":5}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,3AQF3RZ55C0JN2R4LJN9422HKK36F1,A1FUWARMP40UX0,Submitted,Fri Nov 29 18:15:56 PST 2019,Fri Nov 29 18:18:16 PST 2019,Sat Nov 30 18:18:16 PST 2019,140,0% (0/0),0% (0/0),0% (0/0),"[{""height"":157,""label"":""No Need to Do this Label"",""left"":146,""top"":424,""width"":400}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,3AWETUDC96A5L3D5OWQ54X845GQZIA,A1IIDRN4R3DZCK,Submitted,Fri Nov 29 17:25:40 PST 2019,Fri Nov 29 17:26:14 PST 2019,Sat Nov 30 17:26:14 PST 2019,34,0% (0/0),0% (0/0),0% (0/0),"[{""height"":160,""label"":""No Need to Do this Label"",""left"":152,""top"":424,""width"":393}]",683,1024,,
33BFF6QPJ4TKFLSO24U9C3H8ZE63WJ,3PUZG2R74V2U9P5Q09H0HOOQ4PV459,Draw a bounding box around 1 item (2 cents):,Draw a bounding box around 1 item (2 cents):,1 bounding box,$0.02,Fri Nov 29 17:05:35 PST 2019,100,BatchId:3853201;OriginalHitTemplateId:928390838;,3600,86400,Sat Nov 30 17:05:35 PST 2019,3B1NLC6UG3EXB854BZS0SNTAG4SPGO,A1PIFYLH5PAG6X,Submitted,Fri Nov 29 17:49:55 PST 2019,Fri Nov 29 17:50:40 PST 2019,Sat Nov 30 17:50:40 PST 2019,45,0% (0/0),0% (0/0),0% (0/0),"[{""height"":156,""label"":""No Need to Do this Label"",""left"":146,""top"":427,""width"":404}]",683,1024,,
